app,num_functions,avg_duration,std_duration,min_duration,max_duration,avg_invocation_rate,cold_start_rate,total_cost,total_carbon,sla_violation_rate,num_invocations,workload_type
3efeb602c2eb29e2729b18ad18da8936f44c862a205fd915f5a40c8df429cf04,23,0.4383279523687858,0.963170916799365,-0.11811023622047244,5.259842519685039,0.7712784475724962,0.3303834808259587,2295344.3299673386,167.33096240539487,0.2448377581120944,339,bursty
41b8611922a7e03fab9cdcaf07c13c95ebcb3eb242b8297d54c88dcd1b6e97ad,5,148.90813648293963,183.4873449648252,0.9553805774278215,455.60629921259846,-0.2535897041127654,0.7435897435897436,251180.5223812622,12458.016339282134,0.5897435897435898,39,bursty
458c67821d1d6a60633104e961b1057aae34aec42edf4abf0a940929f9820c55,1,75.85564304461943,71.00018097405903,0.6561679790026247,229.11548556430444,-18.824128255437774,0.009615384615384616,723118.1168452556,5375.275552411918,0.009615384615384616,104,standard
45adb7409f430f557486607e2d2c28e257611852badfdad9eb210fc71972b332,1,13.739595050618673,9.083649615811972,0.9291338582677167,23.225721784776905,0.9485010794202032,0.2857142857142857,107168.99041767872,100.15598200183895,0.07142857142857142,14,standard
4b22cc3e1988174edd67d91fd7a82a9977c1719601065e5740d54074a6910170,2,0.11299149616906626,1.414641235299272,-0.08661417322834646,30.706036745406823,0.27523046646883936,0.010987623137155848,52323678.8659566,6226.616670135501,0.008082849204344532,7918,standard
4dd59aea96ab30b4156e2166b472206ff912315495a3c4f713fbdc240d06b9b0,9,8.494002451743313,14.573902537732227,-0.11023622047244093,167.76902887139107,0.683144659920859,0.030161054172767203,24369680.992016174,10794.961713039485,0.019619326500732063,3415,standard
4f5eafc2b3d6ead5cc034aa58932c0020fac2dc1469f2c30ddf76534ee6c1469,2,16.321633915995104,4.677635276076168,9.325459317585302,45.7742782152231,1.1385833071687812,0.18181818181818182,2846265.7303808834,9675.03741051261,0.11143695014662756,341,standard
4f931629ab2497de387e3ba8abd1228ef01acf83aa0bbdf157bfd499f5605f6e,2,0.39670041244844395,1.3322402407176333,-0.11811023622047244,5.766404199475065,-0.2261829502137021,0.24489795918367346,616286.6750790593,22.79134852695554,0.16326530612244897,49,standard
4fd9ef036fda3832e6bb4e57f1cc1395c248edddda334ef8aede099536a5bae3,2,0.8048438965876153,1.375549486429141,-0.10498687664041995,8.598425196850394,0.09469222026433538,0.14937759336099585,12028781.239681065,1467.7444506011777,0.1025489033787789,1687,standard
51dbc1cbb708f14d997d60d9853f2dfcbfb5c542db327809635d554e2f15cba5,1,314.26507706829767,193.22412245307953,0.4514435695538057,742.4776902887139,-93.98595595583372,0.0011273957158962795,6051339.92997512,36324.17919637515,0.0011273957158962795,887,standard
530c944fe7e078ffea40edffe5ade5855be59be23431f14b5957a9dc51843397,1,113.6745406824147,,113.6745406824147,113.6745406824147,,1.0,105260.56179691516,19.301750617225313,0.0,1,bursty
5466ca598a6b68be7337ceb7aac09a5dd5343fa2b04e24577441984e1254f3a6,2,45.017669439946154,41.566817742249455,-0.09186351706036747,288.46194225721786,-0.6764607709751941,0.0004995836802664446,44900840.949644014,34884.550089075135,0.00033305578684429644,6005,standard
57d15fc6e7154e6c733abfbb4467d0e89bd95f67b4e77e91861a7c9bf17e8bf3,1,0.17375328083989502,0.38584194802940863,-0.013123359580052486,0.8635170603674541,0.04909843945434539,0.2,95205.378681886,5.482882856850965,0.2,5,standard
5a214e8e4550048928db64ece5a7db31a51001f7e3dcf395f310361231613d2b,1,32.37822807114146,7.7556975963854455,1.538057742782152,47.10761154855643,-0.25568919598282425,0.9230769230769231,1371260.8786995139,1119.1434809287314,0.6713286713286714,143,bursty
5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,5,0.4961646194225722,3.845177865005378,0.01574803149606299,133.60892388451444,-18.571515676983676,0.0025768421052631578,420515368.85105467,49236.00286085881,0.0016842105263157896,59375,standard
60bb8c2ce1c44989ec8d0cbcf561e1eba665ad1937007193185789eaa5da84c8,1,9.910761154855644,,9.910761154855644,9.910761154855644,,1.0,0.966715586847597,10.392312382213708,1.0,1,bursty
6139f1f15c382fa840e754686b9a238e77b255835c5ca2b846cc52cd61156276,1,27.411417322834648,2.8618204045991775,24.07874015748032,29.892388451443573,-0.2558428592448026,1.0,20.59624104399495,214.06443896393984,0.75,4,bursty
62ed48c098820db02aa8e99ad41e5438e61334ba7b1618aaff2f40868c927a97,6,0.8297878495952311,5.8320364778419735,-0.09973753280839895,631.3228346456693,-1.0530430049285655,0.0004402676827511127,884642952.0584145,64468.620609299105,0.0003041849444462233,124924,standard
641f0f86d3d9f681ff0faf8e6f1178dda0f915724e37ef380f45d551022f3cda,1,-0.014773153355830524,0.2916771353572729,-0.10498687664041995,1.4488188976377951,-0.07219876049834643,0.05714285714285714,310019.85119824455,0.5665844099787285,0.05714285714285714,35,standard
64f056310269572d34dcf626607cc098da009963bd4526ca45418a55830fc235,1,0.3758530183727034,0.8432969162555053,-0.11023622047244093,1.837270341207349,0.34249669890502477,0.4,15.322670116077958,0.19288721143089313,0.4,5,bursty
67b406bcce86bae0872f25d73079c25ff0e1b159cdc4f3bfaadae99ca73d3dc1,2,19.999080854192837,35.21909828145016,7.325459317585302,386.7007874015748,0.20115476981884173,0.42412451361867703,1312799.9841934375,2485.7258818783953,0.2840466926070039,257,bursty
682c50b946b6efb68d6610e43b5caff289e8aa39b3aa5db1c1dd4f030eae5708,1,3.5987640494609945,0.7514112687266647,0.5800524934383203,14.21259842519685,-0.2553919735703024,0.002188183807439825,3398502.774400688,3271.5219277608276,0.0,457,standard
68d84244f6a3c212c69884d292b01a04ade8573f6c7b7407e39e0c44fd8e659e,1,0.19537210272185362,2.244342802266606,0.013123359580052486,127.5774278215223,-0.25509118800025044,0.00018221574344023323,36057930.69771474,-29.314640688442342,0.00018221574344023323,5488,standard
6e42a4e8ea1df408e059ba37d0e04255fd8385235b310265a57091132d760a65,2,26.879765845008336,56.23748567081246,-0.09186351706036747,218.80839895013122,1.1488168683689617,0.001471529110684581,207903497.86427018,436192.82510738587,0.0009916826615483044,31260,standard
70b9cea7ca266637479483f517194c402dfe99b5fc2357e6ebac5e715c9a34a2,3,6.289296046674929,33.903428951006674,-0.10761154855643044,802.4199475065616,-10.30949478964317,0.002255105307849715,514099612.97768676,470761.09084179037,0.0015173239417013518,71837,standard
